"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 14 15:49:15 MSK 2023","Sun May 14 15:49:17 MSK 2023","2346","","ConstructorTests","","ConstructorTests","openIngredientTabCheckIngredientSection[Для вкладки: By.xpath: //section[1]/div[1]/div[2], ингредиенты: By.xpath: //h2[contains(text(),'Соусы')]]","openIngredientTabCheckIngredientSection[Для вкладки: By.xpath: //section[1]/div[1]/div[2], ингредиенты: By.xpath: //h2[contains(text(),'Соусы')]]",""
"passed","Sun May 14 15:49:46 MSK 2023","Sun May 14 15:49:50 MSK 2023","3724","","PrivateCabinetTests","","PrivateCabinetTests","OpenContsructorFromPrivateCabinetWithLogo","OpenContsructorFromPrivateCabinetWithLogo",""
"passed","Sun May 14 15:49:58 MSK 2023","Sun May 14 15:50:00 MSK 2023","2064","","RegistrationTests","","RegistrationTests","registrateNewUserWithIncorrectPasswordLength3","registrateNewUserWithIncorrectPasswordLength3",""
"passed","Sun May 14 15:49:54 MSK 2023","Sun May 14 15:49:58 MSK 2023","3681","","RegistrationTests","","RegistrationTests","registrateNewUserWithCorrectData","registrateNewUserWithCorrectData",""
"passed","Sun May 14 15:49:26 MSK 2023","Sun May 14 15:49:30 MSK 2023","3755","","LoginTests","","LoginTests","enterInAccountFromRestorePasswordLinkSingIn","enterInAccountFromRestorePasswordLinkSingIn",""
"passed","Sun May 14 15:49:50 MSK 2023","Sun May 14 15:49:54 MSK 2023","4028","","PrivateCabinetTests","","PrivateCabinetTests","EnterInPrivateCabinet","EnterInPrivateCabinet",""
"passed","Sun May 14 15:49:30 MSK 2023","Sun May 14 15:49:34 MSK 2023","4069","","LoginTests","","LoginTests","enterInAccountFromConstructorPageEnterInAccountButton","enterInAccountFromConstructorPageEnterInAccountButton",""
"passed","Sun May 14 15:49:19 MSK 2023","Sun May 14 15:49:21 MSK 2023","2608","","ConstructorTests","","ConstructorTests","openIngredientTabCheckIngredientSection[Для вкладки: By.xpath: //section[1]/div[1]/div[1], ингредиенты: By.xpath: //h2[contains(text(),'Булки')]]","openIngredientTabCheckIngredientSection[Для вкладки: By.xpath: //section[1]/div[1]/div[1], ингредиенты: By.xpath: //h2[contains(text(),'Булки')]]",""
"passed","Sun May 14 15:49:17 MSK 2023","Sun May 14 15:49:19 MSK 2023","1617","","ConstructorTests","","ConstructorTests","openIngredientTabCheckIngredientSection[Для вкладки: By.xpath: //section[1]/div[1]/div[3], ингредиенты: By.xpath: //h2[contains(text(),'Начинки')]]","openIngredientTabCheckIngredientSection[Для вкладки: By.xpath: //section[1]/div[1]/div[3], ингредиенты: By.xpath: //h2[contains(text(),'Начинки')]]",""
"passed","Sun May 14 15:49:34 MSK 2023","Sun May 14 15:49:38 MSK 2023","3848","","LoginTests","","LoginTests","enterInAccountFromRegistrationFormLinkSingIn","enterInAccountFromRegistrationFormLinkSingIn",""
"passed","Sun May 14 15:49:42 MSK 2023","Sun May 14 15:49:46 MSK 2023","4252","","PrivateCabinetTests","","PrivateCabinetTests","LogoutFromPrivateCabinet","LogoutFromPrivateCabinet",""
"passed","Sun May 14 15:49:21 MSK 2023","Sun May 14 15:49:26 MSK 2023","4906","","LoginTests","","LoginTests","enterInAccountFromNavbarPrivateCabinet","enterInAccountFromNavbarPrivateCabinet",""
"passed","Sun May 14 15:49:38 MSK 2023","Sun May 14 15:49:42 MSK 2023","4149","","PrivateCabinetTests","","PrivateCabinetTests","OpenContsructorFromPrivateCabinetWithButton","OpenContsructorFromPrivateCabinetWithButton",""
